condition,generator,dataset,seed,method,n_documents,harmonic_purity,coverage,ari,nmi
compact,Luna,sib200,37,hybrid,140,0.4685447972292366,0.9642857142857144,0.2071556808443811,0.3971018380662208
compact,Luna,sib200,37,initial,140,0.4685447972292366,0.9642857142857144,0.2071556808443811,0.3971018380662208
compact,Luna,sib200,37,direct_hybrid,140,0.6074304827312046,1.0,0.3082562053814479,0.5095705339606341
compact,Luna,sib200,37,direct_initial,140,0.6074304827312046,1.0,0.3082562053814479,0.5095705339606341
compact,Luna,sib200,37,bertopic,140,0.2547786014826688,0.0357142857142857,0.0015398350410759,0.0671224539525357
compact,Luna,sib200,37,kmeans,140,0.5606682480987263,1.0,0.2933855910448408,0.5149689531606728
compact,Luna,sib200,53,hybrid,140,0.4693791631149464,0.9642857142857144,0.1867010169898902,0.4163424067709359
compact,Luna,sib200,53,initial,140,0.4693791631149464,0.9642857142857144,0.1867010169898902,0.4163424067709359
compact,Luna,sib200,53,direct_hybrid,140,0.5577115636898246,1.0,0.2989449497367161,0.495819570454249
compact,Luna,sib200,53,direct_initial,140,0.5577115636898246,1.0,0.2989449497367161,0.495819570454249
compact,Luna,sib200,53,bertopic,140,0.24860853432282,0.0428571428571428,0.0003593526124474,0.0652456169042813
compact,Luna,sib200,53,kmeans,140,0.5134287469078327,1.0,0.2182975313939403,0.4773889637787858
compact,Luna,massive,71,hybrid,360,0.6419682682840578,0.95,0.4595812805459677,0.6820307452707648
compact,Luna,massive,71,initial,360,0.6419682682840578,0.95,0.4595812805459677,0.6820307452707648
compact,Luna,massive,71,direct_hybrid,360,0.6388648914805808,1.0,0.3922086159670166,0.6748573352328973
compact,Luna,massive,71,direct_initial,360,0.6388648914805808,1.0,0.3922086159670166,0.6748573352328973
compact,Luna,massive,71,bertopic,360,0.6167983790610155,0.7166666666666667,0.3003361515842616,0.6533559040960516
compact,Luna,massive,71,kmeans,360,0.6608325367847911,1.0,0.4325979094105601,0.6892173271579363
compact,Luna,bills,53,hybrid,376,0.4224751712048866,0.9388297872340424,0.2269640884320808,0.4683628612241282
compact,Luna,bills,53,initial,376,0.4207307293427377,0.9388297872340424,0.2239017942372653,0.4619423907861177
compact,Luna,bills,53,direct_hybrid,376,0.4684364535322238,1.0,0.249601247576961,0.4888875088036303
compact,Luna,bills,53,direct_initial,376,0.4687498532931404,1.0,0.2496966715195391,0.484846724171201
compact,Luna,bills,53,bertopic,376,0.2193779956561791,0.875,0.0433965281053222,0.2439055277845649
compact,Luna,bills,53,kmeans,376,0.4221518761412378,1.0,0.2024908634903341,0.4830349770977594
compact,Luna,ag_news,53,hybrid,799,0.6530437712697361,1.0,0.4411323290531982,0.4851979123002172
compact,Luna,ag_news,53,initial,799,0.6530437712697361,1.0,0.4411323290531982,0.4851979123002172
compact,Luna,ag_news,53,direct_hybrid,799,0.6094914480807184,1.0,0.3732133026118452,0.448194695696946
compact,Luna,ag_news,53,direct_initial,799,0.6094914480807184,1.0,0.3732133026118452,0.448194695696946
compact,Luna,ag_news,53,bertopic,799,0.4842837782076829,0.6971214017521903,0.2038505674591465,0.4116134009971526
compact,Luna,ag_news,53,kmeans,799,0.4841003779139499,1.0,0.2607200840189365,0.4893079180752747
compact,Luna,ag_news,37,hybrid,799,0.5806441857207347,1.0,0.3442814063006981,0.4696764858738017
compact,Luna,ag_news,37,initial,799,0.5806441857207347,1.0,0.3442814063006981,0.4696764858738017
compact,Luna,ag_news,37,direct_hybrid,799,0.5107291716353817,1.0,0.2591432125418006,0.3898280733837543
compact,Luna,ag_news,37,direct_initial,799,0.5107291716353817,1.0,0.2591432125418006,0.3898280733837543
compact,Luna,ag_news,37,bertopic,799,0.5628876793814486,0.6445556946182729,0.3485713697160358,0.4731800997159129
compact,Luna,ag_news,37,kmeans,799,0.4048417795813737,1.0,0.2079542232455347,0.4607668448478163
compact,Luna,massive,23,hybrid,360,0.6422729038119929,0.95,0.4648757872146178,0.688155805702422
compact,Luna,massive,23,initial,360,0.6422729038119929,0.95,0.4648757872146178,0.688155805702422
compact,Luna,massive,23,direct_hybrid,360,0.6608998391475006,1.0,0.4730666728594719,0.7030815686955885
compact,Luna,massive,23,direct_initial,360,0.6608998391475006,1.0,0.4730666728594719,0.7030815686955885
compact,Luna,massive,23,bertopic,360,0.5773331432605625,0.6944444444444444,0.2493896105647957,0.6097018161681717
compact,Luna,massive,23,kmeans,360,0.7003105608262654,1.0,0.5030471348226567,0.7326007426712117
compact,Luna,bills,37,hybrid,376,0.4101469009159224,0.9388297872340424,0.2239365147610817,0.4626109944533312
compact,Luna,bills,37,initial,376,0.4101469009159224,0.9388297872340424,0.2239365147610817,0.4626109944533312
compact,Luna,bills,37,direct_hybrid,376,0.4477750084774165,1.0,0.2461262467228683,0.4985708915009758
compact,Luna,bills,37,direct_initial,376,0.4477750084774165,1.0,0.2461262467228683,0.4985708915009758
compact,Luna,bills,37,bertopic,376,0.1454949663746775,1.0,0.0105860969210734,0.1098066181312095
compact,Luna,bills,37,kmeans,376,0.384871511709088,1.0,0.1790472447473047,0.4717515356289511
compact,Luna,ag_news,11,hybrid,799,0.6716176534798939,1.0,0.4618756892142114,0.4884130171585669
compact,Luna,ag_news,11,initial,799,0.6716176534798939,1.0,0.4618756892142114,0.4884130171585669
compact,Luna,ag_news,11,direct_hybrid,799,0.6064589676234632,1.0,0.296132956887255,0.3926279700436699
compact,Luna,ag_news,11,direct_initial,799,0.6064589676234632,1.0,0.296132956887255,0.3926279700436699
compact,Luna,ag_news,11,bertopic,799,0.6049451676182654,0.6620775969962454,0.3796566580414365,0.4935375125849195
compact,Luna,ag_news,11,kmeans,799,0.5162363061776174,1.0,0.2923567680626812,0.5069043423637855
compact,Luna,bills,11,hybrid,376,0.3955543084302702,0.9388297872340424,0.2131355888829087,0.4538717321091847
compact,Luna,bills,11,initial,376,0.3949124805043372,0.9388297872340424,0.2135069005711321,0.4533423899428144
compact,Luna,bills,11,direct_hybrid,376,0.422219169696506,1.0,0.2240847857839577,0.4741177248793568
compact,Luna,bills,11,direct_initial,376,0.4247077189315375,1.0,0.2279380617222711,0.4751444318597762
compact,Luna,bills,11,bertopic,376,0.1454949663746775,1.0,0.0105860969210734,0.1098066181312095
compact,Luna,bills,11,kmeans,376,0.4381954063957801,1.0,0.2466338434192348,0.4984469195109827
compact,Luna,sib200,11,hybrid,140,0.5008504914367441,0.9642857142857144,0.2169599163211177,0.3948681112397508
compact,Luna,sib200,11,initial,140,0.5008504914367441,0.9642857142857144,0.2169599163211177,0.3948681112397508
compact,Luna,sib200,11,direct_hybrid,140,0.5646818985278674,1.0,0.3114570730705138,0.5140310359841749
compact,Luna,sib200,11,direct_initial,140,0.5646818985278674,1.0,0.3114570730705138,0.5140310359841749
compact,Luna,sib200,11,bertopic,140,0.2504511278195488,0.0571428571428571,0.0022752441167001,0.0816095492240706
compact,Luna,sib200,11,kmeans,140,0.4484136758151537,1.0,0.1751970893680264,0.407793947795423
compact,Luna,massive,11,hybrid,360,0.6863767048398712,0.95,0.4973235736023651,0.6964394993430234
compact,Luna,massive,11,initial,360,0.6863767048398712,0.95,0.4973235736023651,0.6964394993430234
compact,Luna,massive,11,direct_hybrid,360,0.6705839602427827,1.0,0.4705226769173273,0.6863033960610101
compact,Luna,massive,11,direct_initial,360,0.6705839602427827,1.0,0.4705226769173273,0.6863033960610101
compact,Luna,massive,11,bertopic,360,0.6170246114325354,0.6972222222222222,0.2658387547805033,0.6391595537842841
compact,Luna,massive,11,kmeans,360,0.6680403582020219,1.0,0.4257859298018143,0.6810232244925551
neutral,Luna,massive,37,hybrid,360,0.6710830498843584,0.95,0.5076609058454424,0.706878579395801
neutral,Luna,massive,37,initial,360,0.6710830498843584,0.95,0.5076609058454424,0.706878579395801
neutral,Luna,massive,37,direct_hybrid,360,0.6921835548293936,1.0,0.5455080405489441,0.7324690512753271
neutral,Luna,massive,37,direct_initial,360,0.6921835548293936,1.0,0.5455080405489441,0.7324690512753271
neutral,Luna,massive,37,bertopic,360,0.5818764328150389,0.7111111111111111,0.2733095067762708,0.6256835514524454
neutral,Luna,massive,37,kmeans,360,0.6338975921055854,1.0,0.3853408282295327,0.6866473378943033
neutral,Luna,bills,23,hybrid,376,0.3983268268668107,0.9388297872340424,0.1940580752984514,0.4819319445476069
