condition,generator,dataset,method,harmonic_purity_mean,harmonic_purity_std,coverage_mean,coverage_std,ari_mean,ari_std,nmi_mean,nmi_std
neutral,Luna,bills,kmeans,0.42015547449869317,0.021399826950787175,1.0,0.0,0.2199482560967175,0.023250516045913116,0.4844449363048776,0.0195402497375768
neutral,Luna,massive,bertopic,0.5866797321280932,0.031950461932791406,0.6922222222222223,0.0297494683010895,0.2662703494487217,0.02270056870423525,0.629688391330083,0.016948660542365736
neutral,Luna,massive,direct_hybrid,0.6491148562210565,0.025676051410349034,1.0,0.0,0.43278732830326383,0.08374475603384723,0.6871083637796044,0.03267463363285673
neutral,Luna,massive,direct_initial,0.64838881235343,0.02584186288680171,1.0,0.0,0.43167697241382363,0.0832564634406883,0.6861543920573407,0.032332676033681486
neutral,Luna,massive,hybrid,0.6676138693940136,0.01394821086355718,0.95,0.0,0.48952971897595043,0.02087427534540624,0.703445316200283,0.012398596989202641
neutral,Luna,massive,initial,0.6676138693940136,0.01394821086355718,0.95,0.0,0.48952971897595043,0.02087427534540624,0.703445316200283,0.012398596989202641
neutral,Luna,massive,kmeans,0.6760684222094742,0.02990671335104068,1.0,0.0,0.44811227732938824,0.05498797050672245,0.7059668396606995,0.023441262601960267
neutral,Luna,sib200,bertopic,0.25426953021665477,0.005454455423564101,0.06571428571428568,0.03403179785591884,0.0021417956152383,0.001416642323963762,0.07890130766767116,0.012154049443364937
neutral,Luna,sib200,direct_hybrid,0.5264183830819035,0.052217095360637775,1.0,0.0,0.25985318025342063,0.04406165534681641,0.47648944674868743,0.02396590193786343
neutral,Luna,sib200,direct_initial,0.5264183830819035,0.052217095360637775,1.0,0.0,0.25985318025342063,0.04406165534681641,0.47648944674868743,0.02396590193786343
neutral,Luna,sib200,hybrid,0.47069819861799084,0.04019474362113003,0.9642857142857144,0.0,0.19802428039243242,0.04405681568584282,0.4143921159899322,0.005258644943283726
neutral,Luna,sib200,initial,0.47069819861799084,0.04019474362113003,0.9642857142857144,0.0,0.19802428039243242,0.04405681568584282,0.4143921159899322,0.005258644943283726
neutral,Luna,sib200,kmeans,0.4506647019572421,0.04411722701427733,1.0,0.0,0.1896216329643041,0.0405647044546254,0.4336205264498002,0.034629737080722096
