generator,backend,dataset,seed,method,split,sample_scope,evidence_role,n_documents,coverage,n_rejected,n_assigned_topics,mapped_accuracy,purity,inverse_purity,harmonic_purity,ari,nmi,assigned_mapped_accuracy,assigned_purity,assigned_inverse_purity,assigned_harmonic_purity,assigned_ari,assigned_nmi
GPT-4.1 mini,cloud,sib200,71,direct_hybrid,test,eligible,release_revalidation_previously_seen,140,1.0,0,11,0.5571428571428572,0.6357142857142857,0.5571428571428572,0.5938408896492728,0.3026091413588826,0.4677949807565957,0.5571428571428572,0.6357142857142857,0.5571428571428572,0.5938408896492728,0.3026091413588826,0.4677949807565957
GPT-4.1 mini,cloud,sib200,71,direct_initial,test,eligible,release_revalidation_previously_seen,140,1.0,0,10,0.5571428571428572,0.6214285714285714,0.5571428571428572,0.5875324675324676,0.2991415072037617,0.4602856708025751,0.5571428571428572,0.6214285714285714,0.5571428571428572,0.5875324675324676,0.2991415072037617,0.4602856708025751
GPT-4.1 mini,cloud,sib200,71,bertopic,test,eligible,release_revalidation_previously_seen,140,0.0714285714285714,130,4,0.1857142857142857,0.1928571428571428,0.9285714285714286,0.3193812556869881,0.0022831912390524,0.0900554234413218,0.6,0.7,0.6,0.6461538461538462,0.16,0.5327732681874285
GPT-4.1 mini,cloud,sib200,71,kmeans,test,eligible,release_revalidation_previously_seen,140,1.0,0,11,0.5285714285714286,0.6571428571428571,0.5285714285714286,0.5858864027538726,0.2966863742609652,0.4785318189696885,0.5285714285714286,0.6571428571428571,0.5285714285714286,0.5858864027538726,0.2966863742609652,0.4785318189696885
GPT-4.1 mini,cloud,massive,11,hybrid,test,eligible,release_revalidation_previously_seen,360,0.95,18,11,0.5,0.5055555555555555,0.7333333333333333,0.5985052316890881,0.3671919362048474,0.5942473985492577,0.5175438596491229,0.5175438596491229,0.7719298245614035,0.6196443489676573,0.384857303916278,0.6174959994158856
GPT-4.1 mini,cloud,massive,11,initial,test,eligible,release_revalidation_previously_seen,360,0.95,18,10,0.4972222222222222,0.4972222222222222,0.7472222222222222,0.5971106150793651,0.3639015167709357,0.592583617797082,0.5087719298245614,0.5087719298245614,0.7865497076023392,0.6178765197417925,0.3808889075189618,0.6159754934570725
GPT-4.1 mini,cloud,massive,11,direct_hybrid,test,eligible,release_revalidation_previously_seen,360,1.0,0,11,0.4833333333333333,0.4833333333333333,0.7277777777777777,0.5808868501529053,0.2665424747553211,0.5684802399036181,0.4833333333333333,0.4833333333333333,0.7277777777777777,0.5808868501529053,0.2665424747553211,0.5684802399036181
GPT-4.1 mini,cloud,massive,11,direct_initial,test,eligible,release_revalidation_previously_seen,360,1.0,0,10,0.4666666666666667,0.4666666666666667,0.7388888888888889,0.5720430107526882,0.2545414764998918,0.5564076814810367,0.4666666666666667,0.4666666666666667,0.7388888888888889,0.5720430107526882,0.2545414764998918,0.5564076814810367
GPT-4.1 mini,cloud,massive,11,bertopic,test,eligible,release_revalidation_previously_seen,360,0.6972222222222222,109,14,0.5555555555555556,0.5666666666666667,0.6944444444444444,0.6240822320117474,0.2658387547805033,0.6391595537842841,0.7330677290836654,0.749003984063745,0.8764940239043825,0.8077493945785487,0.6289311230117614,0.8294784016532445
GPT-4.1 mini,cloud,massive,11,kmeans,test,eligible,release_revalidation_previously_seen,360,1.0,0,11,0.4694444444444444,0.4694444444444444,0.6944444444444444,0.5601962344205781,0.3231932204010286,0.6048150674746949,0.4694444444444444,0.4694444444444444,0.6944444444444444,0.5601962344205781,0.3231932204010286,0.6048150674746949
